phase,FL_hip_joint_mean,FL_knee_joint_mean,FL_ankle_joint_mean,FR_hip_joint_mean,FR_knee_joint_mean,FR_ankle_joint_mean,RL_hip_joint_mean,RL_knee_joint_mean,RL_ankle_joint_mean,RR_hip_joint_mean,RR_knee_joint_mean,RR_ankle_joint_mean,FL_hip_joint_peak,FL_knee_joint_peak,FL_ankle_joint_peak,FR_hip_joint_peak,FR_knee_joint_peak,FR_ankle_joint_peak,RL_hip_joint_peak,RL_knee_joint_peak,RL_ankle_joint_peak,RR_hip_joint_peak,RR_knee_joint_peak,RR_ankle_joint_peak
0.020,-0.1922,-0.0266,0.6604,-0.1146,0.0175,0.0201,0.1121,0.0511,0.3462,0.2147,0.5446,0.6957,-2.9975,-3.0062,3.0236,-0.3279,-0.4248,0.5929,0.3620,2.5029,2.9504,2.9390,3.0387,2.9483
0.060,0.0302,0.0491,0.2725,-0.0555,-0.0567,0.2597,0.0104,0.5571,0.9146,0.1747,-0.1896,0.4088,-1.1640,-0.6625,0.9871,1.4536,-2.9954,2.9387,-2.9616,3.0764,2.9412,2.9412,-2.8793,2.9458
0.100,-0.0792,-0.2465,0.4291,0.0047,-0.0378,0.2682,0.1142,0.7966,0.9787,0.0941,0.3090,0.5927,-2.9904,-3.0027,2.9916,2.9607,-3.0212,2.9952,-2.9469,3.0166,2.8824,2.9429,3.0385,2.9424
0.140,0.0834,-0.1069,-0.0060,-0.0777,0.1657,0.3130,0.1250,0.5052,0.5293,-0.1612,0.2260,0.6495,0.5107,-1.4863,0.0579,-0.3282,0.8595,0.8673,0.4684,3.0146,2.8606,-0.6775,3.0078,2.8978
0.180,0.1688,-0.2789,-0.0586,0.1711,-0.4054,0.5145,-0.2081,0.6099,0.8066,-0.1832,0.5364,0.6054,0.6326,-2.4708,-0.4945,1.6385,-2.9929,2.9568,-2.4901,2.9900,2.8209,-0.7511,2.8976,2.3573
0.220,-0.4384,-0.5435,0.6232,0.3459,0.0408,0.3794,-0.1630,0.0664,0.3207,0.0288,0.9355,1.0503,-2.9342,-2.8868,2.8479,1.5928,1.8738,1.3048,-1.2630,1.5184,2.9352,1.4124,2.9957,2.9072
0.260,-0.3855,-0.1899,0.5986,-0.0023,0.0815,0.4072,-0.0661,0.6478,0.7728,0.5162,0.1752,0.6384,-2.9996,-3.0147,2.9938,0.8372,-2.5812,2.9363,-0.9273,2.9077,2.9520,2.9416,-2.1028,2.8569
0.300,-0.0303,-0.0609,0.3406,-0.0495,-0.5031,0.1575,-0.0959,0.9737,1.0777,0.2610,0.3987,0.6283,-1.7248,-1.5831,1.4845,0.8580,-2.9753,2.9297,-1.4802,2.9398,2.9680,1.8200,2.9027,2.9515
0.340,-0.2237,-0.1351,0.2044,-0.0096,-0.4460,0.2351,-0.1684,0.3677,0.4571,0.4266,0.5363,0.7211,-1.8870,-1.6693,1.4186,0.7242,-2.9701,0.9233,-1.0367,2.9414,2.8732,2.9702,2.8413,2.9256
0.380,0.0046,-0.2647,0.1972,-0.1002,-0.5420,0.3654,-0.0915,0.7701,0.7422,0.2037,-0.0941,0.3014,-0.8930,-1.5681,1.4735,0.8598,-2.9836,2.9444,-1.4226,2.3084,2.8813,0.9691,-2.6224,1.6610
0.420,-0.2208,0.1615,0.3222,0.0494,0.0636,0.3139,-0.0127,0.3997,0.5172,0.2028,-0.1057,0.3742,-1.7188,1.9853,1.4770,1.3697,1.6722,1.0115,-1.0614,1.7014,2.9482,1.7448,1.5452,1.9484
0.460,0.0024,-0.0633,0.2492,0.0840,0.0522,0.3470,-0.2224,0.5498,0.7873,0.1275,0.5905,0.8795,-1.2693,2.8761,1.5475,-1.3385,1.5592,0.9673,-1.0321,1.7480,2.9471,0.8791,1.6105,2.9479
0.500,0.0299,-0.1415,0.2503,0.2290,0.1852,0.4313,-0.2635,0.1563,0.4188,-0.0559,0.7032,0.9467,-1.4468,2.8633,2.1671,1.6539,2.7934,1.7993,-1.6470,2.8545,2.9556,0.4704,1.6070,2.9348
0.540,-0.3545,0.0987,0.3805,0.1957,-0.0234,0.3443,-0.1793,0.1272,0.3711,0.3044,0.2183,0.6378,-1.8277,-1.7289,1.5934,1.6853,1.2381,1.4875,-1.7032,1.4444,2.1910,1.9150,2.3340,2.9481
0.580,-0.2824,0.0783,0.6444,0.3319,0.2588,0.4061,-0.3375,-0.1979,0.1653,0.2355,0.4083,0.8192,-1.6742,2.8609,2.5528,1.7027,1.2686,1.5395,-1.7388,-1.4190,2.1647,1.1857,2.8122,2.9397
0.620,-0.2814,-0.1169,0.3747,0.1689,-0.0482,0.2721,-0.1943,0.2897,0.5680,0.3097,0.1411,0.4757,-1.8422,-1.9089,1.6457,0.8685,-1.3002,0.9191,-1.0295,1.9836,2.7762,1.9230,-1.6766,2.1490
0.660,-0.5363,0.1939,0.5486,0.1171,-0.0949,0.2623,-0.1439,-0.0292,0.1553,0.4730,0.1983,0.7650,-1.8622,-2.1774,1.6639,1.2030,2.7851,1.5247,-1.0559,1.4586,2.9472,1.9381,-1.6906,2.1606
0.700,-0.4582,0.4364,0.5027,0.0184,0.1614,0.1832,-0.0440,0.4252,0.5655,0.4948,0.2503,1.1275,-1.8598,2.8763,1.6731,0.8627,1.2769,0.8912,-1.0138,2.8844,2.9574,2.9303,2.8918,2.9524
0.740,0.0624,0.0164,0.1272,0.0150,-0.3174,0.1721,-0.0917,0.4279,0.6653,-0.0420,0.9832,1.1535,-1.2307,2.5223,1.3904,0.9587,-1.5864,1.0460,-1.1897,2.8875,2.9518,1.0587,2.8938,2.9512
0.780,0.1320,-0.1063,0.0922,0.2332,-0.2641,0.3638,-0.1366,0.7709,1.1519,-0.1150,0.2102,0.1618,0.3825,-2.0370,0.8083,1.8017,2.4136,1.3352,-1.0173,1.9460,2.9349,-0.2471,1.7181,1.7147
0.820,0.1525,-0.0599,-0.0135,0.3152,0.0389,0.4202,-0.1951,1.4313,1.8603,-0.1313,0.1377,0.1079,0.3186,-1.5016,0.0598,1.7287,2.1224,1.5547,-1.7571,3.0652,2.9611,-0.2725,1.4644,1.5702
0.860,-0.2822,0.2511,0.2904,0.0330,-0.2486,0.1756,-0.1053,1.0326,1.3161,0.4950,-0.0518,0.6740,-1.8510,2.8730,1.6799,1.9801,2.0496,1.3548,-1.2022,2.0412,2.9323,2.9271,-2.7344,2.9434
0.900,-0.0026,-0.3871,0.1238,-0.1234,-0.1587,0.1309,0.0652,0.7972,0.8254,0.0599,0.3662,1.2139,-1.7754,2.8638,2.0853,-0.2998,-2.0543,0.8562,-1.7002,2.8836,2.9525,2.9289,-2.8967,2.9322
0.940,-0.2205,0.1882,0.4118,0.2577,0.2023,0.4017,-0.1574,0.2071,0.5078,0.0604,0.6822,1.1179,-2.3594,2.8835,2.1396,2.9315,2.8659,2.4780,-2.6520,1.8390,2.9494,1.3255,2.1734,2.9502
0.980,0.0452,0.3095,0.5228,0.1442,-0.0241,0.1483,0.0017,-0.4730,0.6465,-0.1950,0.1346,0.5447,-1.0093,1.6630,1.1117,1.3594,1.7535,1.0454,1.2429,-2.8791,2.9737,-0.8820,-2.8838,2.9210
